id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,price,min_nights
50246239,Shaw,1/24/2019,F,1,6,Shared room,2,2 shared baths,,1,117,1
50303269,Dupont Circle,4/27/2016,F,0.81,44,Entire home/apt,2,1 bath,1,2,88,31
50315318,Union Station,7/10/2014,T,1,1,Entire home/apt,2,1 bath,1,1,155,2
50329912,Dupont Circle,8/26/2019,T,0.98,21,Entire home/apt,5,1 bath,2,2,330,2
50356183,Shaw,2/16/2015,T,1,5,Entire home/apt,4,1 bath,1,1,178,1
50402684,Union Station,5/21/2021,F,0.88,3,Entire home/apt,4,1 bath,1,2,100,31
50417461,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,2,1 bath,1,1,272,31
50433453,Capitol Hill,6/17/2013,T,0.95,2,Entire home/apt,3,1 bath,1,1,190,3
50438579,Shaw,6/16/2021,T,0.99,1,Entire home/apt,6,1 bath,2,2,213,1
50520639,Shaw,8/18/2019,T,0.99,1,Entire home/apt,2,1 bath,1,1,159,2
50635245,Union Station,8/3/2016,F,,1,Entire home/apt,3,1 bath,,1,86,2
50676691,Union Station,12/23/2014,F,0.99,2244,Private room,8,2 baths,2,4,703,1
50679919,Union Station,11/27/2016,T,0.99,1,Entire home/apt,2,1 bath,1,1,95,2
50694792,Capitol Hill,8/29/2013,T,0.96,2,Entire home/apt,6,2.5 baths,3,3,453,1
50733128,Dupont Circle,4/6/2018,F,0.83,11,Entire home/apt,4,1 bath,1,2,105,31
50844635,Dupont Circle,7/5/2021,F,,1,Entire home/apt,4,1 bath,1,2,149,31
50875772,Dupont Circle,8/26/2019,T,0.98,21,Entire home/apt,8,3 baths,4,4,823,2
50875966,Dupont Circle,8/26/2019,T,0.98,21,Entire home/apt,9,3 baths,4,5,1107,2
50903143,Capitol Hill,5/5/2016,T,1,2,Entire home/apt,4,1 bath,1,2,120,31
50935433,Capitol Hill,3/16/2012,T,0.97,1,Entire home/apt,4,1 bath,1,2,210,3
50941983,Dupont Circle,4/27/2016,F,0.81,44,Entire home/apt,2,1 bath,1,2,79,31
51070667,Shaw,6/17/2017,T,0.89,1,Entire home/apt,3,1 bath,1,2,170,2
51085180,Dupont Circle,4/6/2018,F,0.83,11,Entire home/apt,2,1 bath,1,1,88,31
51128245,Union Station,8/5/2014,T,0.97,6,Entire home/apt,4,1 bath,1,2,176,2
51134713,Shaw,6/18/2012,F,1,1,Entire home/apt,2,1 bath,1,1,163,28
51170066,Capitol Hill,7/7/2018,F,0.99,1,Entire home/apt,4,1 bath,1,2,122,3
51186640,Dupont Circle,7/22/2013,F,0.24,221,Entire home/apt,3,1 bath,1,1,120,31
51280194,Capitol Hill,5/14/2014,F,,4,Entire home/apt,2,1 bath,1,1,120,31
51310221,Dupont Circle,4/27/2016,F,0.81,44,Entire home/apt,2,1 bath,1,1,99,31
51323093,Dupont Circle,4/27/2016,F,0.81,44,Entire home/apt,4,1 bath,2,2,110,31
51328356,Capitol Hill,7/29/2015,F,0.99,339,Entire home/apt,2,1 bath,1,1,103,31
51489662,Union Station,8/5/2021,T,0.99,1,Entire home/apt,4,1 bath,2,3,257,2
51542353,Capitol Hill,2/12/2020,T,0.99,1,Entire home/apt,6,1 bath,2,3,304,2
51565005,Shaw,9/15/2014,T,0.96,3,Entire home/apt,2,1 bath,1,2,167,5
51583699,Shaw,7/29/2015,F,0.99,339,Entire home/apt,6,2 baths,2,3,236,31
51599456,Capitol Hill,8/14/2020,F,,1,Entire home/apt,4,1 bath,2,2,271,31
51602782,Shaw,8/16/2020,F,0.99,4,Entire home/apt,5,1 bath,2,3,213,1
51652582,Capitol Hill,5/11/2015,T,0.98,27,Entire home/apt,4,2 baths,2,2,254,4
51662043,Union Station,5/18/2013,F,0.76,3,Entire home/apt,3,1 bath,1,1,102,2
51667347,Georgetown,5/14/2012,T,0.99,3,Entire home/apt,2,1 bath,1,1,117,2
51767925,Union Station,7/10/2014,F,1,8,Entire home/apt,2,1 bath,1,1,108,14
51799543,Union Station,11/21/2020,T,0.78,2,Entire home/apt,1,1 bath,,1,130,5
