listing_id,total_reviews,avg_rating
17589398,90,4.69
51350499,91,4.8
18691537,92,4.57
42590098,111,4.87
50695713,112,4.76
13616522,142,4.84
10436526,286,4.88
17078088,325,4.83
36801219,360,4.85
8.82E+17,1,5
9.05E+17,1,1
53364086,1,2
7.16E+17,1,5
7.75E+17,2,3.5
8.92E+17,3,4.67
53683540,4,4.5
50874395,4,5
35991621,5,4.8
7.83E+17,6,4.33
50683029,6,4.67
28160365,6,4.67
7.86E+17,7,4.71
7.86E+17,8,4.38
8.19E+17,8,4.75
8.32E+17,9,4.89
52498920,10,5
20361292,11,5
7.79E+17,12,4.08
49962519,13,5
7.74E+17,14,4.79
8.80E+17,16,4
6.30E+17,16,4.88
14981562,16,4.31
5.88E+17,17,5
45432706,17,4.94
30711356,17,4.71
52132867,23,4.87
32270141,28,4.96
6.35E+17,31,4.87
6.61E+17,34,4.91
50920850,38,4.97
8419348,43,4.47
50751282,49,4.9
5.99E+17,50,4.88
52844704,52,4.85
53472771,53,4.74
9012148,56,4.48
6.70E+17,68,4.91
16647588,71,4.9
25487660,79,4.65
48265849,87,4.92
45993222,96,4.83
29236747,99,4.9
27962382,107,4.83
2259215,164,4.4
35316303,186,4.9
15397701,200,4.84
41481671,228,4.95
3810218,229,4.9
16140977,295,4.72
4634946,302,4.86
4408378,417,4.88
1789722,423,4.9
1488282,494,4.75
20605356,1,5
8.75E+17,1,5
8.95E+17,1,5
35454316,1,4
53336135,2,4.5
50437536,2,5
8.49E+17,3,5
9697108,3,4.33
47942586,3,5
8.59E+17,4,5
51393257,4,4.5
8.07E+17,5,4.8
42867623,5,4.2
9694072,5,4.6
28137320,6,4.33
5.60E+17,6,4.17
21141774,6,4.8
17007485,8,5
8.57E+17,9,4.33
8.79E+17,9,4.33
49887651,9,4
16530141,10,4.89
35843844,10,4.6
7.35E+17,10,4.3
50950236,10,4.9
28227027,11,4.82
10115427,11,5
22923604,11,5
53665983,11,4.82
8.46E+17,12,4.75
7.30E+17,13,4.77
8.50E+17,13,4.62
7982044,13,4.77
39322009,14,4.64
7.29E+17,14,4.71
27937041,14,4.93
22566196,14,4.29
6.28E+17,15,4.87
16309028,15,4.64
6.25E+17,15,4.93
1865861,16,4.92
44869358,16,4.94
7.99E+17,17,4.29
16415389,17,4.71
7.95E+17,18,4.72
8.06E+17,18,4.72
5.99E+17,19,4.95
2468252,19,4.79
35480065,20,4.68
8.04E+17,21,4.95
29804690,22,4.95
54241958,22,4.95
7.66E+17,22,4.77
50549572,22,4.95
45599687,25,4.84
7.01E+17,28,4.71
50877560,30,4.93
1407284,30,4.43
8424836,33,4.55
52790225,33,4.97
14027788,33,5
17619774,33,4.58
7.12E+17,34,4.85
7.73E+17,34,4.94
8404345,35,4.51
13744,35,4.85
7.34E+17,36,4.89
4758676,36,4.75
41326764,38,4
6.03E+17,38,4.87
6.31E+17,39,4.92
5.61E+17,39,4.95
6103261,42,4.76
46545564,45,4.91
52350320,48,4.94
49061918,49,4.96
31824956,51,4.94
6.60E+17,52,4.88
8300958,54,4.54
9551164,54,4.66
52384704,54,4.96
48334124,57,4.95
39156460,57,4.86
15206984,59,4.49
17172878,62,4.66
6.03E+17,63,4.98
17588084,63,4.7
46835011,66,4.85
38869884,67,4.96
6.33E+17,67,4.94
46453167,68,4.88
17419427,68,4.76
34594785,69,4.35
42199762,72,4.82
48975990,73,4.78
17695736,74,4.66
17620806,75,4.36
17172606,77,4.6
46615344,81,4.93
35649783,90,4.87
47008879,90,4.92
54260157,93,4.98
32953300,100,4.88
50574502,101,4.92
5.35E+17,102,4.9
24668757,105,4.8
40706032,105,4.76
7245977,108,4.79
19074623,114,4.81
46738044,118,4.75
4085972,126,4.41
15165917,129,4.36
17830430,133,4.52
33882534,133,4.71
33522560,141,4.96
45866645,143,4.9
10788926,145,4.92
2257488,148,4.42
32815444,172,4.83
31708124,176,4.91
1537822,180,4.89
15523073,181,4.92
22048871,183,4.84
17171614,183,4.54
16710435,186,4.96
18033145,187,4.67
22496638,191,4.92
26812495,194,4.84
48851573,202,4.9
18913122,206,4.81
23139332,209,4.75
25032515,221,4.92
29771907,223,4.95
14685847,236,4.9
16497765,237,4.83
22300841,251,4.92
16200955,265,4.85
19769087,284,4.88
21456367,289,4.83
3175218,309,4.95
17944042,318,4.99
7744854,343,4.78
12794738,369,4.93
19011416,399,4.97
4301665,422,4.85
18023259,439,4.74
16453579,1,5
6004138,1,5
6.40E+17,1,5
8.29E+17,1,1
50063025,1,4
8.88E+17,1,4
21756049,1,0
16628982,1,5
49790366,1,5
49590808,1,4
7.19E+17,1,4
38509835,1,5
7.20E+17,1,4
13913413,1,4
8.92E+17,2,5
46293888,2,5
31384462,2,5
44483573,2,4
7.21E+17,2,5
22265652,2,4.5
45424729,2,4.5
15217220,3,0
8.96E+17,4,5
15357947,4,5
20780000,4,5
22731835,4,3.75
22953793,4,4.5
47137342,4,5
46356120,5,5
36945683,6,4.83
660514,6,4.2
20303609,7,4.67
40491514,7,4.86
41858298,7,4.57
35915972,7,5
51184324,8,5
37298554,8,4.13
13788425,9,4.78
39362772,9,4.67
31741258,9,5
51101021,10,4.7
48172430,10,4.9
28242044,10,4.33
5.60E+17,11,4.64
16376614,11,4.6
6327064,11,4.3
52140412,12,4.58
12643387,12,5
33517319,12,4.33
52629128,13,4.92
11544564,13,4.58
38356056,13,4.62
23584521,14,4.69
26108745,14,4.57
26231144,14,4.5
7.80E+17,15,4.53
1484387,16,4.69
21265927,16,4.94
888029,16,4.5
41258738,17,4.94
41853446,17,4.65
13764058,20,4.85
49080071,21,4.62
12935921,21,4.95
35095359,21,4.62
8072054,22,4.41
7.88E+17,22,5
8.29E+17,22,4.91
37493632,24,4.92
39321498,25,4.56
50515002,25,4.6
16415014,25,4.96
7.17E+17,26,4.81
723716,26,4.54
32846587,26,4.65
32104084,28,5
37833461,30,4.93
7.09E+17,31,4.87
39485961,33,4.45
7.47E+17,34,4.94
31161347,36,4.8
50320058,37,5
27932589,37,4.95
23881282,37,4.94
52845562,38,4.97
8616083,38,4.89
24376933,39,4.77
28316665,40,4.55
2318183,41,4.88
45549299,42,4.86
8488518,42,4.79
48268708,44,5
45190034,46,4.98
44410630,46,4.7
19082321,48,4.98
24728111,48,4.65
38978425,50,4.92
38581209,52,4.69
25231412,52,4.94
20422457,52,4.85
19085033,55,4.91
18370655,55,4.67
2874685,57,4.43
6.31E+17,58,4.72
50137730,59,4.15
2257433,60,4.62
45959718,61,4.44
13524358,63,4.75
21062208,63,4.77
44410205,63,4.7
13992113,71,4.59
33516751,75,4.63
32870364,79,4.89
17748684,79,4.95
23478836,84,4.72
24755870,90,4.96
15914701,96,4.3
22583236,99,4.8
17248804,101,4.4
15326344,102,4.71
17620157,104,4.53
21325478,110,4.66
16755291,118,4.97
40431665,121,4.8
27148863,121,4.97
46713309,122,4.7
22595540,122,4.85
24534127,125,4.96
18509858,127,4.61
17662150,134,4.87
556729,136,4.48
24623980,138,4.75
21885282,139,4.58
2538828,144,4.86
16256111,150,4.86
30812242,153,4.97
28692012,154,4.4
15209243,154,4.67
24775374,157,4.92
18254897,159,4.87
18281120,160,4.82
67483,162,4.5
14322493,162,4.6
38045795,165,4.7
